id,screen_name,from_unixtime(created_at),from_unixtime(updated_at),text,retweet_count
370893469687873000,EdwardSnowden2,8/23/2013 9:01,8/23/2013 9:01,German GCHQ says Microsoft Windows 8 unsafe for government use after NSA ... - http://t.co/1y1RCaXKAW http://t.co/feeEwdGZdx,0
370893486418972000,EdwardSnowden2,8/23/2013 9:01,8/23/2013 9:01,Google and Microsoft's plea on NSA requests moves slowly in secret court - GigaOM http://t.co/QCpxaT2dVD,0
370893571504619000,danshep55,8/23/2013 9:01,8/23/2013 9:01,$msft ballmer to retire ceo 12months,0
370893573316952000,bman_alerts,8/23/2013 9:01,8/23/2013 9:01,$MSFT CEO to retire within 12 months,0
370893599707123000,TradeDesk_Steve,8/23/2013 9:01,8/23/2013 9:01,Microsoft Ceo Steve Ballmer To Retire Within 12 Months,0
370893626152210000,Margin_C,8/23/2013 9:01,8/23/2013 9:01,*MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS,0
370893637711704000,NOD008,8/23/2013 9:01,8/23/2013 9:01,*MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS,0
370893641759215000,zerohedge,8/23/2013 9:01,8/23/2013 9:02,MSFT's Steve Balmer to retire within 12 months,0
370893643499851000,crywoolf,8/23/2013 9:01,8/23/2013 9:02,*MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS,0
370893660486787000,swissmommy,8/23/2013 9:01,8/23/2013 9:02,MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS,0
370893676798418000,DanBTIG,8/23/2013 9:01,8/23/2013 9:02,*MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS $MSFT,0
370893678413615000,jakebeckman,8/23/2013 9:01,8/23/2013 9:02,RT @zerohedge: MSFT's Steve Balmer to retire within 12 months,0
370893690073780000,libalefede,8/23/2013 9:02,8/23/2013 9:02,RT @zerohedge: MSFT's Steve Balmer to retire within 12 months,0
370893697077870000,cordial,8/23/2013 9:02,8/23/2013 9:02,HURRAH! RT @TradeDesk_Steve: Microsoft Ceo Steve Ballmer To Retire Within 12 Months,0
370893703906217000,DoumDoom,8/23/2013 9:02,8/23/2013 9:02,*MICROSOFT CEO STEVE BALLMER TO RETIRE WITHIN 12 MONTHS,0
370893710247989000,zerohedge,8/23/2013 9:02,8/23/2013 9:02,MSFT's Steve Ballmer to retire within 12 months,0
370893714895278000,Sandman7591,8/23/2013 9:02,8/23/2013 9:02,$MSFT that bloated loser is finally going,0
370893724437327000,ErnestScheyder,8/23/2013 9:02,8/23/2013 9:02,"BREAKING NEWS: Microsoft says CEO Steve Ballmer will retire ""within 12 months"" $MSFT",0
370893736923774000,ByrneTSCM,8/23/2013 9:02,8/23/2013 9:02,RT @TradeDesk_Steve: Microsoft Ceo Steve Ballmer To Retire Within 12 Months,0
370893737037025000,soshnick,8/23/2013 9:02,8/23/2013 9:02,Microsoft CEO Steve Ballmer to retire within a year,0
370893737800384000,IvanTheK,8/23/2013 9:02,8/23/2013 9:02,RT @TradeDesk_Steve: Microsoft Ceo Steve Ballmer To Retire Within 12 Months,0
